pname,X_gcj02,Y_gcj02,city,rankInCity,rankInChina,name_en,intro,image_url,bing_search_url
黄山风景区,118.161524,30.124159,黄山,1,19,Mount Huangshan Scenic Area,"黄山位于中国安徽省南部黄山市境内，南北长约40公里，东西宽约30公里，山脉面积1200平方公里，核心景区面积约160.6平方公里，主体以花岗岩构成，最高处莲花峰，海拔1864.8米。
黄山原名黟（yī）山，因峰岩青黑，遥望苍黛而名。后因传轩辕黄帝曾在此炼丹成仙，唐玄宗信奉道教，故于天宝六年（公元747年）六月十七日改为“黄山”。
明朝旅行家、地理学家徐霞客两次登临黄山，赞叹说：“五岳归来不看山，黄山归来不看岳”。徐霞客评黄山有“泰岱之雄伟、华山之险峻、衡岳之烟云、匡庐之飞瀑、雁荡之巧石、峨嵋之清秀”。并被世人誉为“天下第一奇山”。1979年邓小平游览黄山，说“这里是发展旅游的好地方，是你们发财的地方，要有点雄心壮志，把黄山的牌子打出去”。
黄山1982年入选第一批国家重点风景名胜区；1986年黄山被评选为中国十大风景名胜之一，且是中国十大风景名胜中唯一的山岳风景区；1990年12月黄山风景名胜区作为一项文化与自然双重遗产被联合国教科文组织列入世界遗产名录；2004年2月入选世界地质公园。2015年被世界自然保护联盟列为首批最佳管理自然保护地绿色名录。",https://ts1.tc.mm.bing.net/th/id/R-C.f454efb3a6c7f079441301cff02f3475?rik=kx6JVlMcYXBJhg&riu=http%3a%2f%2fn.sinaimg.cn%2fsinakd20210417ac%2f160%2fw1920h1440%2f20210417%2fd7e4-knvsnuf9772547.jpg&ehk=y7OqqNtKMtrMr%2biwB9XZ0Nu0pp%2bQVrAL6PVAhFl57O4%3d&risl=&pid=ImgRaw&r=0,https://cn.bing.com/images/search?q=%E9%BB%84%E5%B1%B1%E9%A3%8E%E6%99%AF%E5%8C%BA&first=1
拙政园,120.62921,31.324231,苏州,1,21,Humble Administrator's Garden,"拙政园，是中国江南一座园林，位于江苏省苏州市姑苏区东北街178号，始建于明朝正德年间，初为御史王献臣改佛寺以建。它是中国园林的杰出代表，亦是江南私家花园典范，1961年被国务院列为首批全国重点文物保护单位，1991年被国家计委、旅游局、建设部列为国家级特殊游览参观点，1997年，与其它数座园林一同被联合国教科文组织列为世界文化遗产。
拙政园始建于明正德四年（1509年），为明代弘治进士、御史王献臣弃官回乡后，在唐代陆龟蒙宅地和元代大弘寺旧址处拓建而成。取晋代文学家潘岳《闲居赋》中“筑室种树，逍遥自得……灌园鬻蔬，以供朝夕之膳……此亦拙者之为政也”句意，将此园命名为拙政园。据传王献臣在建园之期，曾请吴门画派的代表人物文征明为其设计蓝图，形成以水为主、疏朗平淡、近乎自然风景的园林。王献臣死后，其子一夜豪赌，将园输给徐氏，其子孙后亦衰落。明崇祯四年（1631年）园东部归侍郎王心一，名“归田园居”。园中部和西部，主人更换频繁，乾隆初，中部复园归太守蒋棨所有。咸丰十年（1860年）太平军进驻苏州，拙政园为忠王府，相传忠王李秀成以中部见山楼为其治事之所。光绪三年（1877年）西部归富商张履谦，名“补园”。中华人民共和国成立后，得到了保护修复，并于1952年正式对外开放。 ??
拙政园占地面积78亩（52000平方米），全园分东、中、西三部分。另有住宅部分现为园林博物馆展厅。东部明快开朗，以平冈远山、松林草坪、竹坞曲水为主。中部为拙政园精华所在，池水面积占1/3，以水为主，池广树茂，景色自然，临水布置了形体不一、高低错落的建筑，主次分明。西部水池呈曲尺形，其特点为台馆分峙，回廊起伏，水波倒影，别有情趣，装饰华丽精美，主体建筑为靠近住宅一侧的卅六鸳鸯馆。",https://cn.forum.cdn.d5render.com/optimized/3X/6/0/601746e2db095a83ecac4c59a3bb5a318ff85cd1_2_792x1024.jpeg,https://cn.bing.com/images/search?q=%E6%8B%99%E6%94%BF%E5%9B%AD&first=1
磁器口古镇,106.450003,29.58143,重庆,1,28,Ciqikou Ancient Town,"磁器口古镇，原名瓷器口镇、白崖镇、白岩场镇、龙隐镇，位于重庆市沙坪坝区，比邻嘉陵江。自明、清时期以来磁器口一直是重要的水陆码头，为嘉陵江下游物资集散地。
磁器口是重庆主城区内少有的能领略老重庆风味的地方，被称为「小重庆」。靠近码头处，有原国民政府主席林森题词的「小重庆碑」。",https://gd-hbimg.huaban.com/6feed97f7fdb408e731b4ddb77eb43212984619e11fb1-spnwZl_fw658,https://cn.bing.com/images/search?q=%E7%A3%81%E5%99%A8%E5%8F%A3%E5%8F%A4%E9%95%87&first=1
黄鹤楼,114.302457,30.544658,武汉,1,29,Yellow Crane Tower,黄鹤楼位于中华人民共和国湖北省武汉市武昌蛇山上，与湖南岳阳楼、江西滕王阁合称江南三大名楼，是中国国家旅游胜地四十佳之一。黄鹤楼被称为“天下绝景”，这一称谓源自宋徽宗的一幅画“天下绝景黄鹤楼”。始建于三国时代吴黄武二年（公元223年），自初代开始，距今已有1800年历史，历代屡修屡毁，上一代为三层式，毁于1884年，黄鹤楼原址靠近江边，被选用为武汉长江公铁两用大桥的引桥起点，现在的黄鹤楼是于1985年异址重建的。最新一代版黄鹤楼共5层，高51.4米。,https://x0.ifengimg.com/ucms/2024_12/CD801CFB740A636ABD48AD78B2035554FC0D86EF_size131_w1920_h1080.jpg,https://cn.bing.com/images/search?q=%E9%BB%84%E9%B9%A4%E6%A5%BC&first=1
乌镇,120.491844,30.747986,嘉兴,1,30,Wuzhen,"乌镇镇位于中华人民共和国浙江省桐乡市，是江南著名古镇之一。镇域面积71.19平方公里，建城区面积2.5平方千米，总人口6万，镇区常住人口1.2万。乌镇景区已被评为中国国家5A级景区，是全国20个黄金周预报景点之一，现由中青旅运营。2019年被评为中国文化百强镇。
乌镇是典型的江南水乡古镇，乌镇原以市河（车溪）为界，分为乌青二镇，河西为乌镇，属湖州府乌程县；河东为青镇，属嘉兴府桐乡县。中华人民共和国时期，市河以西的乌镇划归桐乡县，统称乌镇。
乌镇街道上民居以清代建筑为主，保存完好。全镇以河成街，桥街相连。各式民居、店铺依河筑屋，即有深宅大院、百年老屋，也有河埠廊坊，过街骑楼，是江南典型的“小桥流水人家”。乌镇为千年文化名镇，在历史上小镇曾出过64名进士、161名举人。茅盾、沈泽民、严独鹤等都为乌镇人。
2014年11月19日到21日，首届“世界互联网大会”在乌镇举办，该地也成为世界互联网大会的永久会址。",https://i.ytimg.com/vi/ji8iY8iYGXo/maxresdefault.jpg,https://cn.bing.com/images/search?q=%E4%B9%8C%E9%95%87&first=1
大理古城,100.164146,25.694484,大理,1,31,Dali Old Town,大理古城位于云南省大理市，是云南历史文化名城，历史悠久，环境优美，被誉为“南半球最大的古镇”。作为中国四大名镇之一（除云南、云南、台湾外），大理古城以其丰富的文化遗产和独特的历史氛围而闻名。漫步在古色古香的建筑群落中，可以感受到浓厚的历史氛围，石acad、塔尔寺和龙井溪等景点都是游客必去的地方。大理古城融合了自然与人文的完美结合，既有壮丽的自然景观，又保留了许多珍贵的文化遗产，作为一座连接历史与自然的艺术品，将进一步吸引更多游客前来体验。,https://gd-hbimg.huaban.com/212072bb9a65b2188cde67ff6b46a54b37aa924fc423e-sZx4f2_fw658,https://cn.bing.com/images/search?q=%E5%A4%A7%E7%90%86%E5%8F%A4%E5%9F%8E&first=1
夫子庙,118.788869,32.020645,南京,1,32,Confucius Temple,"孔庙，又称夫子庙、至圣庙、先师庙、先圣庙、文宣王庙，通常称为文庙，本是中国纪念孔子、供后人祭祀孔子的庙宇式建筑，自汉武帝罢黜百家，独尊儒术后成为借以宣传儒家思想的庙宇。
随着中国文化在中国周边地区的影响加深，越南、朝鲜、日本等地都兴建了许多孔庙。18世纪以后，在欧洲、美洲等地也相继出现了孔庙。全世界的孔庙曾发展到三千多处，目前尚存一千三百多处。",https://youimg1.c-ctrip.com/target/100r12000000sbyhg8D85.jpg,https://cn.bing.com/images/search?q=%E5%A4%AB%E5%AD%90%E5%BA%99&first=1
九寨沟风景区,103.914688,33.157204,阿坝,1,33,Jiuzhaigou Valley Scenic and Historic Interest Area,九寨沟风景名胜区，简称九寨沟，位于中国四川省北部阿坝藏族羌族自治州九寨沟县（原南坪县）。域跨东经103°46'~104°4'；北纬32°54'~33°19'。因沟中有树正、荷叶、则查洼、盘信、黑果、盘亚助、故洼、彭布、尖盘九个藏族村寨而得名。九寨沟水系流经白河、白水江、嘉陵江，最后流入长江。1992年被列为世界自然遗产。,https://so1.360tres.com/t01ee60fe855dc104d6.jpg,https://cn.bing.com/images/search?q=%E4%B9%9D%E5%AF%A8%E6%B2%9F%E9%A3%8E%E6%99%AF%E5%8C%BA&first=1
华山,110.066529,34.491583,渭南,1,35,Mount Hua,"华（Huà）山，又名太华（huá）山，是五岳中的西岳。位于中华人民共和国陕西省渭南市华阴市城南，西距西安市区120公里。秦、晋、豫黄河三角洲交汇处，南接秦岭，北瞰黄河，扼西北进出中原之门户。华山山体倚天拔地，四面如削，更有千尺幢、百尺峡、苍龙岭、鹞子翻身、长空栈道等十分险峻之地，被誉为“奇险天下第一山”。华山共有五峰，即东峰朝阳，西峰莲花，中峰玉女，南峰落雁，北峰云台。南峰落雁，为太华极顶，海拔2154.9米；西峰最险，海拔2082米；北峰最低，海拔1614.7米。另外，南峰落雁、东峰朝阳，西峰莲花，合称“天外三峰”。
华山同时也是道教名山，是三十六洞天中的第四洞天。华山自古以来就是负有盛名的胜地，传说萧史在此吹箫引来秦穆公女弄玉倾慕，隋唐孙思邈常入华山采药，北宋即有睡仙陈抟隐居于此。 1982年，华山以“陕西华山风景名胜区”的名义，被中华人民共和国国务院批准列入第一批国家重点风景名胜区名单，其游览面积约150平方公里。
华山又名西岳，与东岳泰山并称。据说是因周平王迁都洛阳，华山位于东周京城洛邑之西，故称“西岳”，以后秦王朝建都咸阳，西汉王朝建都长安，都在华山之西，所以华山不再称西岳。后来汉光武帝刘秀在洛阳建立东汉政权，华山又恢复了“西岳”之称，并一直沿用至今。 “西”是指地处中原的西边，而“岳”是中国五大名山的总称。华山是五岳中最年轻的山脉，据地质部门1984年观测，目前它还在继续增高。
北魏地理学家郦道元在《水经注》中，对华山有“其高五千仞，削成而四方，远而望之，又若花状”的描绘。古代“花”与“华”相通，可见华山之名实际上得自于形状。关于华山得名，还有另一种说法：因华山顶上生长著白莲花，故而得名。韩愈的《古意》诗中所写的“太华峰顶玉井莲，花开十丈藕如船”，就是根据此传说。民间对其险峻有诸多描绘，最著名的谚语为“自古华山一条路”。",https://i.ytimg.com/vi/RR7-gF5Ibn0/maxresdefault.jpg,https://cn.bing.com/images/search?q=%E5%8D%8E%E5%B1%B1&first=1
崂山,120.619214,36.184467,青岛,1,45,Mount Lao,"崂山，古称劳山、牢山，是位于中华人民共和国山东省青岛市，黄海之滨的山，主峰巨峰（崂顶）海拔1132.7米，为山东省第三高峰。1982年被国务院设为中国名胜景区之一。其上道教宫观太清宫1983年获称道教全国重点宫观。
由崂山风景区管委会负责管理，其下的崂山国家森林公园与崂山林场为一套班子两块牌子。",https://gd-hbimg.huaban.com/9c7a1d026c09bb4bc8029a966acd7d06359e2d0516e1b7-yz2m9Y_fw658,https://cn.bing.com/images/search?q=%E5%B4%82%E5%B1%B1&first=1
鼋头渚,120.227001,31.523518,无锡,1,46,Turtle Head Isle,鼋（yuán）头渚（zhǔ），位于无锡市西南15公里的太湖之滨，为一突入湖中的岛渚，因形似鼋头故名。有太湖第一名胜、太湖佳绝处等誉称。,http://jp.ytz.com.cn/static/upload/2021/09/04/202109046071.jpg,https://cn.bing.com/images/search?q=%E9%BC%8B%E5%A4%B4%E6%B8%9A&first=1
武陵源,110.468151,29.352736,张家界,1,48,Wulingyuan,武陵源风景名胜区，简称武陵源，地处湖南省西北部的武陵山脉中段桑植和慈利两县交界处，隶属张家界市。武陵源由四大风景区组成，分别为张家界国家森林公园和张家界国家地质公园、索溪峪、天子山、杨家界三个自然保护区；总面积约391平方公里，核心景区面积超过250平方公里。武陵源具有比较原始的生态系统，有罕见的砂岩峰林地貌:丁工景观，有3000多座形状奇异的山峰、800多条溪涧，也有岩溶洞穴、瀑布群，并有天然森林，1980年代初被开辟为旅游景区，1988年被定为国家重点风景名胜区，并建立武陵源区政府。1992年12月，被联合国教科文组织作为自然遗产列入《世界遗产名录》。,https://so1.360tres.com/t01fb4c3dfe922c17e2.jpg,https://cn.bing.com/images/search?q=%E6%AD%A6%E9%99%B5%E6%BA%90&first=1
峨眉山,103.349794,29.567821,乐山,1,50,Mount Emei,"峨眉山，亦作峨嵋山，位于中华人民共和国四川省峨眉山市境内，景区面积154平方公里，最高峰万佛顶海拔3,099米，佛教圣地华藏寺所在地金顶（3,077米）成为了峨眉山旅游的最高点。地势陡峭，风景秀丽，有“峨眉天下秀”之美誉。气候多样化，植被丰富，共有3,000多种植物，其中包括世界上稀有的树种。山路沿途有较多猴群，常结队向游人讨食，成为峨眉一大特色。它是中国四大佛教名山之一，有寺庙约26座，重要的有八大寺庙，佛事频繁。据传为佛教中普贤菩萨的道场。1996年12月6日，峨眉山—乐山大佛作为一项文化与自然双重遗产被联合国教科文组织列入世界遗产名录。",https://i.ytimg.com/vi/9EgR6nw45SU/maxresdefault.jpg,https://cn.bing.com/images/search?q=%E5%B3%A8%E7%9C%89%E5%B1%B1&first=1
哈尔滨冰雪大世界,126.563939,45.779012,哈尔滨,1,52,Harbin Ice and Snow World,哈尔滨冰雪大世界是黑龙江哈尔滨的一个以冰雕雪雕景观为主的主题公园，是中国哈尔滨国际冰雪节的组成部分之一。哈尔滨冰雪大世界始创于1999年，后定址于松花江北岸太阳岛西区，与太阳岛国际雪雕艺术博览会，兆麟公园冰灯艺术博览会，尚志公园等一起成为哈尔滨冬季旅游的亮点。每年吸引来自国内外的上百万名游客。哈尔滨是世界上冬季气温最低的大城市之一，冬季封冻的松花江提供了丰富的冰可供利用。冰建筑可露天维持两个多月。,http://ice.hrbicesnow.com/public/2024/images/a1.jpg,https://cn.bing.com/images/search?q=%E5%93%88%E5%B0%94%E6%BB%A8%E5%86%B0%E9%9B%AA%E5%A4%A7%E4%B8%96%E7%95%8C&first=1
漓江风景名胜区,110.431811,25.147164,桂林,1,54,Li River Scenic Area,漓江风景名胜区位于广西桂林壮阔的山水画卷中，是一幅大自然与人文交融的完美展现。这里是/mL赛事举办地， annual 桑林水立方水上狂欢节等大活动的举办地，同时拥有各类水上项目和家庭游乐设施。从山脚到山顶，从山竹到雨生石井，每一处自然景观都彰显了桂林独特的自然美与文化底蕴。适合家庭出游，是放松身心、享受山水风光的好去处！,https://so1.360tres.com/t01fbfc687df6b1f3d7.jpg,https://cn.bing.com/images/search?q=%E6%BC%93%E6%B1%9F%E9%A3%8E%E6%99%AF%E5%90%8D%E8%83%9C%E5%8C%BA&first=1
泰山风景区,117.08821,36.26392,泰安,1,57,Mount Tai Scenic Area,泰山风景区位于中国山东省泰安市，是一个风景名胜区，以独特的山林景观闻名。这里是大自然与历史文化的完美结合地，以其巨石般的巨峰和巨谷为亮点，展现出壮丽的自然景观和深厚的文化内涵。泰山地形多样，既有美丽的山峦，也有丰富的森林和古树群，体现了自然与历史的和谐共生。作为中国重要的生态风景名胜区之一，泰山的生态环境和文化底蕴得到了充分保护和传承，成为展示中华文明的重要窗口。,https://so1.360tres.com/t01794c4ca8dc31ceff.jpg,https://cn.bing.com/images/search?q=%E6%B3%B0%E5%B1%B1%E9%A3%8E%E6%99%AF%E5%8C%BA&first=1
凤凰古城,109.60249,27.947418,湘西,1,62,Fenghuang Ancient Town,"凤凰古城，或称凤凰县城，位于中国湖南省湘西土家族苗族自治州凤凰县沱江镇。
凤凰古城所在的沱江镇古称镇竿。明清时，为五寨司城。是当时中国西南地区的交通要地。镇竿总兵和辰永靖兵备道的衙门驻地。清初，为“六千居民八千兵”的屯边要塞。乾隆年间，成为商业繁荣的城市。亦是大湘西的军政、经济、文化中心。2024年2月6日，凤凰古城旅游区被列为5A景区。",https://i.ytimg.com/vi/UZMaQcbP8tE/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AHiCYAC0AWKAgwIABABGH8gTSgmMA8=&rs=AOn4CLAMBpdzXr-3suV33o93xJKM8FlGIg,https://cn.bing.com/images/search?q=%E5%87%A4%E5%87%B0%E5%8F%A4%E5%9F%8E&first=1
趵突泉景区,117.015968,36.661123,济南,1,63,Baotu Spring Scenic Area,趵突泉景区位于济南市区，作为中国著名的佛教名胜古迹之一，它集自然之美与人文之趣于一身，是济南文化与自然交融的典范。泉水从泉洞口喷涌而出，映衬着 surrounding landscape，展现出一种大自然的壮美与宁静。景区内不仅有清澈见底的泉水景观，还有众多历史遗迹与文化特色，如东汉时期的 Temple群、佛像和古建筑等，充分展现了趵突泉深厚的文化底蕴。游客在这里可以近距离感受这种多元文化的碰撞与融合，体验自然之美与人文之趣的完美结合。,http://5b0988e595225.cdn.sohucs.com/images/20190912/457fbf7b980041b6b2bc00c9c1d6b9f0.jpeg,https://cn.bing.com/images/search?q=%E8%B6%B5%E7%AA%81%E6%B3%89%E6%99%AF%E5%8C%BA&first=1
天津之眼摩天轮,117.186405,39.153934,天津,1,64,Tianjin Eye Ferris Wheel,"天津之眼（英语：The Tientsin Eye）是位于中国天津市海河上的大型摩天轮，坐落于永乐桥（原慈海桥）中央，被誉为天津的城市地标之一。“天津之眼”由日本川口卫设计事务所，是世界上唯一一座建在桥梁上的摩天轮，兼具交通枢纽与观光功能。
作为天津重要的旅游设施和文化地标，“天津之眼”不仅是城市形象的象征，也成为海河夜景的重要组成部分，吸引大量国内外游客前来参观。
2010年11月，该摩天轮被评为中国国家4A级旅游景区。",https://p1.ssl.qhimg.com/t015fd6e45039236e65.jpg,https://cn.bing.com/images/search?q=%E5%A4%A9%E6%B4%A5%E4%B9%8B%E7%9C%BC%E6%91%A9%E5%A4%A9%E8%BD%AE&first=1
黄果树瀑布,105.672589,25.98004,安顺,1,69,Huangguoshu Waterfall,"黄菓树瀑布位于中国贵州省安顺市镇宁布依族苗族自治县，是珠江水系打邦河的支流白水河九级瀑布群中规模最大的一级瀑布。瀑布高度为77.8米，其中主瀑高67米；瀑布宽101米，其中主瀑顶宽83.3米。
黄菓树瀑布号称“亚洲第一大瀑布”。虽然其一级主瀑布实际上以流量和宽度计算不及老挝的孔恩瀑布，与中国境内瀑布相比也在流量次于黄河壶口瀑布，和宽度次于广西德天瀑布。但还是以其雄奇壮阔的一级主瀑布、连环密布的瀑布群而闻名于海内外，十分壮丽。并享有“中华第一瀑”之盛誉。而其瀑布群包含着雄、奇、险、秀风格各异的大小18个，形成一个庞大的瀑布“家族”，被大世界吉尼斯总部评为世界上最大的瀑布群，列入吉尼斯世界纪录。其中黄菓树大瀑布是黄菓树瀑布群中最为壮观的瀑布。
2007年5月，黄果树瀑布景区成为首批中国国家5A级旅游景区。此处也是86年版本《西游记》的取景地。",https://so1.360tres.com/t014ff5c31ad74dc253.jpg,https://cn.bing.com/images/search?q=%E9%BB%84%E6%9E%9C%E6%A0%91%E7%80%91%E5%B8%83&first=1
老虎滩海洋公园,121.675822,38.871792,大连,1,71,Tiger Beach Ocean Park,大连老虎滩海洋公园位于大连市中山区滨海路沿线，是中华人民共和国国家5A级旅游景区。,https://so1.360tres.com/t01b10e688809814260.png,https://cn.bing.com/images/search?q=%E8%80%81%E8%99%8E%E6%BB%A9%E6%B5%B7%E6%B4%8B%E5%85%AC%E5%9B%AD&first=1
